0,0,0
1,1,情報技術科計算機工学実験室
1,2,情報技術科工作室
1,3,情報技術科通信実験室
2,1,メカトロニクス科機械加工実習場
3,1,電子技術科コンピュータ室
4,1,建築科建築実習場
4,3,建築科建築デザイン室
4,4,建築科CAD室
5,1,産業デザイン科デザイン実験室
5,2,産業デザイン科デザイン室
5,
